cluster_id,destinos,ruta_completa,num_destinos,tiempo_horas,viable,estado,eficiencia,fecha_generacion
R001,8|25|12|5,0|5|8|12|25|0,4,6.57,SI,✅ VIABLE,0.609,2026-01-18 19:41:46
R002,34|1|38|23,0|1|23|38|34|0,4,11.82,SI,✅ VIABLE,0.338,2026-01-18 19:41:46
R003,17|30|6|16,0|30|16|6|17|0,4,14.59,SI,✅ VIABLE,0.274,2026-01-18 19:41:46
R004,32|2|3,0|32|3|2|0,3,16.58,SI,✅ VIABLE,0.181,2026-01-18 19:41:46
R005,9|28,0|9|28|0,2,15.4,SI,✅ VIABLE,0.13,2026-01-18 19:41:46
R006,11|19,0|11|19|0,2,15.99,SI,✅ VIABLE,0.125,2026-01-18 19:41:46
R007,27|33,0|27|33|0,2,17.56,SI,✅ VIABLE,0.114,2026-01-18 19:41:46
R008,13|37,0|13|37|0,2,17.68,SI,✅ VIABLE,0.113,2026-01-18 19:41:46
R009,14|35,0|35|14|0,2,17.92,SI,✅ VIABLE,0.112,2026-01-18 19:41:46
R010,24|22,0|24|22|0,2,18.0,SI,✅ VIABLE,0.111,2026-01-18 19:41:46
R011,36,0|36|0,1,16.02,SI,✅ VIABLE,0.062,2026-01-18 19:41:46
R012,7,0|7|0,1,17.64,SI,✅ VIABLE,0.057,2026-01-18 19:41:46
R013,29,0|29|0,1,19.7,NO,⚠️ FORZADA,0.051,2026-01-18 19:41:46
R014,39,0|39|0,1,20.3,NO,⚠️ FORZADA,0.049,2026-01-18 19:41:46
R015,15,0|15|0,1,20.22,NO,⚠️ FORZADA,0.049,2026-01-18 19:41:46
R016,40,0|40|0,1,20.98,NO,⚠️ FORZADA,0.048,2026-01-18 19:41:46
